src_subject_id,rsfmri_c_ngd_ad_ngd_ad,rsfmri_c_ngd_cgc_ngd_ad,rsfmri_c_ngd_cgc_ngd_cgc,rsfmri_c_ngd_ca_ngd_ad,rsfmri_c_ngd_ca_ngd_cgc,rsfmri_c_ngd_ca_ngd_ca,rsfmri_c_ngd_dt_ngd_ad,rsfmri_c_ngd_dt_ngd_cgc,rsfmri_c_ngd_dt_ngd_ca,rsfmri_c_ngd_dt_ngd_dt,rsfmri_c_ngd_dla_ngd_ad,rsfmri_c_ngd_dla_ngd_cgc,rsfmri_c_ngd_dla_ngd_ca,rsfmri_c_ngd_dla_ngd_dt,rsfmri_c_ngd_dla_ngd_dla,rsfmri_c_ngd_fo_ngd_ad,rsfmri_c_ngd_fo_ngd_cgc,rsfmri_c_ngd_fo_ngd_ca,rsfmri_c_ngd_fo_ngd_dt,rsfmri_c_ngd_fo_ngd_dla,rsfmri_c_ngd_fo_ngd_fo,rsfmri_c_ngd_n_ngd_ad,rsfmri_c_ngd_n_ngd_cgc,rsfmri_c_ngd_n_ngd_ca,rsfmri_c_ngd_n_ngd_dt,rsfmri_c_ngd_n_ngd_dla,rsfmri_c_ngd_n_ngd_fo,rsfmri_c_ngd_n_ngd_n,rsfmri_c_ngd_rspltp_ngd_ad,rsfmri_c_ngd_rspltp_ngd_cgc,rsfmri_c_ngd_rspltp_ngd_ca,rsfmri_c_ngd_rspltp_ngd_dt,rsfmri_c_ngd_rspltp_ngd_dla,rsfmri_c_ngd_rspltp_ngd_fo,rsfmri_c_ngd_rspltp_ngd_n,rsfmri_c_ngd_rspltp_ngd_rspltp,rsfmri_c_ngd_sa_ngd_ad,rsfmri_c_ngd_sa_ngd_cgc,rsfmri_c_ngd_sa_ngd_ca,rsfmri_c_ngd_sa_ngd_dt,rsfmri_c_ngd_sa_ngd_dla,rsfmri_c_ngd_sa_ngd_fo,rsfmri_c_ngd_sa_ngd_n,rsfmri_c_ngd_sa_ngd_rspltp,rsfmri_c_ngd_sa_ngd_sa,rsfmri_c_ngd_smh_ngd_ad,rsfmri_c_ngd_smh_ngd_cgc,rsfmri_c_ngd_smh_ngd_ca,rsfmri_c_ngd_smh_ngd_dt,rsfmri_c_ngd_smh_ngd_dla,rsfmri_c_ngd_smh_ngd_fo,rsfmri_c_ngd_smh_ngd_n,rsfmri_c_ngd_smh_ngd_rspltp,rsfmri_c_ngd_smh_ngd_sa,rsfmri_c_ngd_smh_ngd_smh,rsfmri_c_ngd_smm_ngd_ad,rsfmri_c_ngd_smm_ngd_cgc,rsfmri_c_ngd_smm_ngd_ca,rsfmri_c_ngd_smm_ngd_dt,rsfmri_c_ngd_smm_ngd_dla,rsfmri_c_ngd_smm_ngd_fo,rsfmri_c_ngd_smm_ngd_n,rsfmri_c_ngd_smm_ngd_rspltp,rsfmri_c_ngd_smm_ngd_sa,rsfmri_c_ngd_smm_ngd_smh,rsfmri_c_ngd_smm_ngd_smm,rsfmri_c_ngd_vta_ngd_ad,rsfmri_c_ngd_vta_ngd_cgc,rsfmri_c_ngd_vta_ngd_ca,rsfmri_c_ngd_vta_ngd_dt,rsfmri_c_ngd_vta_ngd_dla,rsfmri_c_ngd_vta_ngd_fo,rsfmri_c_ngd_vta_ngd_n,rsfmri_c_ngd_vta_ngd_rspltp,rsfmri_c_ngd_vta_ngd_sa,rsfmri_c_ngd_vta_ngd_smh,rsfmri_c_ngd_vta_ngd_smm,rsfmri_c_ngd_vta_ngd_vta,rsfmri_c_ngd_vs_ngd_ad,rsfmri_c_ngd_vs_ngd_cgc,rsfmri_c_ngd_vs_ngd_ca,rsfmri_c_ngd_vs_ngd_dt,rsfmri_c_ngd_vs_ngd_dla,rsfmri_c_ngd_vs_ngd_fo,rsfmri_c_ngd_vs_ngd_n,rsfmri_c_ngd_vs_ngd_rspltp,rsfmri_c_ngd_vs_ngd_sa,rsfmri_c_ngd_vs_ngd_smh,rsfmri_c_ngd_vs_ngd_smm,rsfmri_c_ngd_vs_ngd_vta,rsfmri_c_ngd_vs_ngd_vs
NDAR_INV00CY2MDM,0.3433,0.19199961,0.35786939,-0.08379645,-0.02356644,0.94236866,-0.08225965,-0.20542039,0.01143126,0.34109468,0.00728673,0.14133728,-0.05076685,-0.18320916,0.26305621,-0.08228174,-0.02317368,0.02146516,0.03692573,0.09626338,0.24490613,-0.042986,-0.10250816,0.00968992,0.1186551,-0.05597887,0.02237864,0.08415535,-0.05129532,-0.11171305,0.35198608,0.10835038,-0.10731937,-0.05897853,0.03160709,0.61317745,0.00813287,0.06175637,0.14635178,0.12369591,-0.06769661,0.10250725,0.02930411,-0.03504334,0.4255159,0.1375445,0.00386806,-0.20546974,-0.03665958,0.04338429,-0.02305354,-0.0189934,-0.03125007,-0.16374718,0.35558054,0.3633267,0.22393985,-0.08062545,-0.15765149,-0.01088215,-0.15693837,-0.09650338,-0.04501931,-0.09617443,0.11775187,0.66729221,0.01905012,0.01089967,-0.10544625,0.104743,-0.01638825,0.02724605,0.02894998,-0.13422029,0.1312467,-0.04258231,-0.03578979,0.24466478,0.01599989,0.10045832,0.10653114,-0.24345992,0.00968927,-0.19796787,-0.10512561,0.08613206,-0.13648535,-0.07316044,0.15123026,-0.09889868,0.51414506
NDAR_INV00HEV6HB,0.24884846,0.22005134,0.35280642,0.01455621,0.08647294,0.79757524,-0.08475378,-0.16138971,-0.00521003,0.28054086,0.08974358,0.23037503,0.07860356,-0.20175069,0.38051536,-0.01734936,0.00334494,0.15348182,0.00730485,0.04377971,0.33775234,-0.00844301,-0.03478868,-0.0265565,0.05492761,-0.03004346,-0.01300705,0.04230008,-0.07479891,-0.23846326,-0.10902192,0.13243786,-0.12449956,-0.0525344,0.06162573,0.44826372,0.10177346,0.19827568,0.15611626,0.0520573,0.03484857,0.08490328,-0.01648337,-0.16676814,0.30058808,0.12503438,0.15522856,0.00945701,-0.09012921,0.16527027,-0.03843409,0.00783618,-0.07578614,0.05985521,0.31753512,0.16258852,0.13190437,-0.00586154,-0.12463666,0.09521214,-0.04788059,-0.01909178,-0.08750217,0.0114997,0.0462176,0.66196311,0.0062953,-0.05408538,-0.09523406,0.11499745,-0.11724496,-0.00457095,0.04312528,0.06040928,0.03568712,-0.04419951,-0.05978578,0.15617358,-0.0481381,-0.00157517,-0.06390536,-0.22604349,0.0620517,-0.09587035,-0.05354227,0.04388858,-0.13687492,-0.05289859,0.07896847,-0.10571426,0.50005898
NDAR_INV01NAYMZH,0.31176273,0.16912452,0.36477108,-0.06520038,0.15554558,0.88476893,0.02337549,-0.08326663,-0.0301892,0.20637854,-0.00997694,0.09220567,0.01491475,-0.11201222,0.22252921,-0.02315302,0.04604229,0.14712892,0.03658063,0.03031918,0.23427039,0.01103003,-0.05673585,-0.0828473,0.04747151,-0.02629969,-0.01586364,0.06615293,-0.05919275,-0.09644701,-0.07138251,0.04146642,-0.01559241,-0.11856144,0.02234351,0.63750272,0.00916286,0.20720745,0.26091522,0.03215389,0.00169999,0.23905069,-0.06770681,-0.13771259,0.58595638,0.11755303,-0.00106456,-0.18482492,0.01236486,0.04554205,-0.04779305,0.03281852,-0.09705279,-0.13302308,0.29542247,0.18818116,0.08008695,-0.11514447,-0.04353037,-0.01265604,-0.06534325,0.02164178,-0.03447909,-0.06256647,0.07912498,0.48643353,0.07468118,0.00390712,-0.0789205,0.08503521,-0.03088301,0.02579993,0.0514215,-0.07792731,0.0308776,0.03096366,0.013064,0.20350021,-0.16472292,-0.09561362,-0.05457274,-0.15573174,0.02990125,-0.12292106,-0.03039654,0.22743546,-0.12949218,-0.1308074,-0.00614548,-0.09727027,0.53667309
NDAR_INV01RGTWD2,0.25777755,0.12493495,0.30981314,0.03973704,0.14714262,0.66890106,0.02036704,-0.09553845,0.02236921,0.26181459,-0.02454693,-0.00122461,-0.01830122,-0.08434574,0.29443328,-0.03050903,-0.03161566,0.07254044,0.11061291,0.10837104,0.17955776,0.02637418,0.0003705,0.02022285,0.04660687,-0.00832424,0.02922632,0.03889406,-0.07495386,-0.11213041,0.05864037,-0.01776651,0.13281173,-0.02865848,-0.02000648,0.59277591,0.0213735,0.17115962,0.1887811,0.0861228,-0.17317558,-0.0110749,0.02086127,-0.12605029,0.44713603,0.19570534,0.07617557,-0.03825841,-0.02465177,0.03285754,-0.05412877,0.00310282,-0.04686459,-0.08841286,0.35727318,0.16706909,0.09090536,-0.01841114,-0.06110331,-0.01306128,-0.05602514,0.02497778,-0.0415013,-0.05547513,0.18312938,0.41155594,0.02125961,0.01502496,0.00409042,0.09578907,-0.11178336,0.0376255,0.03806208,-0.20590179,0.12235023,-0.03650903,-0.03581945,0.22205952,-0.10853402,-0.02094798,-0.11149419,-0.18578693,-0.03789883,-0.16287297,-0.05958113,0.12943172,-0.05397938,-0.08859535,0.02308765,-0.10071259,0.3718113
NDAR_INV021403LF,0.30978518,0.22564019,0.32419885,0.05018819,0.09441223,0.8639304,-0.04501336,-0.06225136,-0.12421649,0.2045616,-0.01451348,0.00792469,0.04408802,-0.07801738,0.20360017,0.0334484,0.02526091,0.00427385,0.01079199,0.08676836,0.18382394,-0.03557512,-0.0647264,-0.07782739,0.05319373,-0.02508227,0.00436031,0.05563613,-0.10162435,-0.15754059,0.17644508,0.02128796,0.07114445,-0.02459093,0.01859416,0.4980808,0.08980774,0.18039585,0.11891256,0.02769274,0.00428538,0.14669588,-0.05287246,-0.07708065,0.38076223,0.05510154,0.10578669,-0.00496153,-0.05179509,0.04920804,-0.00978284,-0.01285846,-0.09189395,0.01414643,0.18861967,0.24426245,0.1553723,0.22108354,-0.07557789,-0.04562229,-0.04231551,-0.06082488,-0.15669564,-0.01705789,0.02083781,0.73393323,0.066138,0.03540531,-0.11728207,0.11362104,-0.08392693,-0.00446605,0.01468451,-0.09491975,0.00748268,-0.03783428,0.05247347,0.22286825,0.01289471,-0.0171247,0.24330126,-0.14181781,0.06073347,-0.06411977,-0.05053672,0.13045014,-0.07331157,-0.03059093,0.11612369,-0.07388772,0.34713781
NDAR_INV028D3ELL,0.2619913,0.17842818,0.36152726,-0.11644723,-0.16404638,0.67332006,-0.12670199,-0.22487793,0.15667431,0.36565128,0.02874482,0.18471058,-0.11887511,-0.1549227,0.25567086,-0.07835952,0.00029718,0.0948138,0.10547867,0.06489814,0.22398367,-0.01988362,-0.04477583,0.03870353,0.05894661,-0.04781277,0.03352049,0.03036956,0.01660134,-0.14119775,0.08522316,0.08928336,-0.05864546,-0.1161834,-0.00635119,0.4363284,0.04981522,0.0177083,0.08336181,0.14770226,-0.03021794,0.10101247,0.02359031,0.04499939,0.27767833,0.19273075,0.1227527,-0.24039391,-0.23475274,0.03390743,-0.23305308,-0.06976687,0.02680109,-0.17946168,0.51289474,0.22642789,0.15637483,-0.16958961,-0.22402262,0.02116025,-0.11947597,-0.02846548,0.01828449,-0.06302685,0.21768136,0.4911022,0.01574487,-0.03677766,-0.00633129,0.16377387,-0.03090702,0.08083836,0.04294508,-0.01798234,0.11403815,-0.09517845,-0.08203112,0.22050164,0.07800546,0.06678742,-0.0420951,-0.29928981,0.03954086,-0.22697036,-0.06363962,0.05781812,-0.18904415,0.28231747,0.22097006,-0.16131057,0.54912762
NDAR_INV02EBX0JJ,0.28674618,0.15661784,0.26763,-0.16231701,-0.09513571,0.86855254,-0.12341271,-0.14960306,0.1347422,0.24951563,0.01461819,0.09118259,-0.12055473,-0.15471747,0.26597814,-0.01481477,-0.0079917,0.0518825,-0.01082006,0.02889674,0.18791053,0.01906103,-0.01238643,-0.0066422,0.03098576,-0.05007432,0.00983059,0.05079074,-0.02184992,-0.09906265,0.16300959,0.11070981,-0.11994572,-0.14897536,0.04622902,0.72630411,-0.00413101,0.13639043,0.16542944,0.06406026,-0.07267634,0.05843162,0.00996534,-0.00410288,0.38054217,0.21526611,0.06115754,-0.23653828,-0.07365224,0.04744164,-0.07667237,-0.00524067,-0.04609888,-0.11566386,0.38680266,0.15364757,0.07275817,-0.16101532,-0.09233218,-0.0383001,-0.08098266,0.01863312,-0.04647144,-0.17132177,0.17646077,0.61484191,0.0729015,0.0738224,-0.08018576,0.00900079,-0.04365478,-0.02762019,0.01724141,-0.11200534,0.06351733,0.07345945,0.05538151,0.1994349,-0.0493878,-0.00852415,0.01705699,-0.10140862,-0.00208001,-0.12211715,-0.02704873,0.18974984,-0.05270929,-0.06892722,0.06357638,-0.06202459,0.37456757
NDAR_INV02H7G2T6,0.38056208,0.24067317,0.35724036,-0.14821719,-0.08013194,0.85238275,-0.01550522,-0.10622424,0.02460043,0.2751025,-0.01755645,0.11624964,-0.01533519,-0.16012013,0.28802433,-0.02291259,-0.00327918,0.0107325,0.1407506,0.00839828,0.25833837,0.02088203,-0.00979584,0.01303087,0.09198635,-0.0509909,0.04940204,0.05028122,-0.08581052,-0.18861909,0.25995688,0.05755452,-0.09081163,-0.11483435,0.01449301,0.60906365,0.08302678,0.14023606,-0.06103236,0.20512533,-0.10196544,0.19840201,0.06975825,-0.038927,0.49913085,0.19764076,0.16261453,-0.16312577,-0.07874437,0.01338944,-0.0607172,-0.02195273,-0.16253505,-0.0520305,0.35117295,0.19064296,0.12051335,-0.26395766,-0.06134199,0.02224438,-0.01021244,-0.02112916,-0.13005883,0.0399994,0.11029303,0.44767326,0.14369039,0.13568194,-0.17718667,0.09248996,-0.0148125,0.09543798,0.05545428,-0.12843405,0.23897422,0.00758014,0.13598832,0.26354854,-0.17338392,-0.09690862,0.14536675,-0.20080598,0.12165381,-0.19060204,-0.07801708,0.2061215,-0.2460308,-0.12917567,0.00204665,-0.14950389,0.59128611
NDAR_INV02WP3TP6,0.27277128,0.21139502,0.33864824,0.01577691,-0.10976893,1.19150468,-0.05313842,-0.14259131,0.13594147,0.29991504,-0.06983176,0.06547951,-0.17811889,-0.15449105,0.29771917,-0.0353651,0.03387579,0.00679178,0.03488926,0.13972904,0.21546578,-0.00127313,-0.04805973,-0.01733156,0.09201666,-0.07742277,-0.03365261,0.05915128,-0.15872067,-0.24705063,0.31680203,0.03889287,0.00056725,-0.03006792,-0.02840791,0.54016703,0.10274695,0.2068212,0.00871697,0.01118112,-0.0137968,0.11490405,-0.01986326,-0.18847813,0.43360086,0.17231687,0.21704994,-0.14612923,-0.08784654,0.04212005,-0.02799083,0.00823801,-0.19806151,0.0534749,0.31984911,0.10374801,0.05401151,0.01539358,0.00486793,-0.05412058,-0.01487177,-0.01669398,0.01118934,0.00093059,-0.03534645,0.36027405,-0.01079641,-0.01296676,-0.04809419,0.15449057,-0.08850232,-0.0322653,0.05260665,-0.1000638,0.03901876,-0.03918382,0.0365878,0.27154861,-0.14837779,-0.11962239,0.09758926,-0.13369643,0.07049997,-0.00323433,-0.1015275,0.2636079,-0.07261028,-0.21610246,0.04636006,-0.12261714,0.45907964
NDAR_INV030W95VP,0.21949426,0.15290945,0.24907423,0.04889588,0.04484816,1.02898302,-0.03272064,-0.05316572,0.09981136,0.20841295,-0.0087624,0.06583566,-0.04611537,-0.08955783,0.27637118,-0.02252769,0.00534501,0.14312504,0.10584427,0.05130898,0.24191808,0.01432508,-0.01749417,0.02759352,-0.0189444,-0.02594864,-0.02302272,0.03922668,0.00803383,-0.01587823,0.34471738,0.0419682,0.09586645,0.01935137,0.01761733,0.74134285,0.06554256,0.12696374,0.04439037,0.01477018,0.00742497,0.06381385,0.00977271,-0.0493251,0.21370815,0.05473832,0.05176715,-0.04929461,-0.04664862,-0.01466728,-0.06135366,-0.01128084,-0.09139746,0.00774935,0.1635183,0.1069265,0.08242322,-0.04728649,-0.11226671,0.03217236,-0.09865016,0.00534347,-0.02133133,-0.03943299,0.03245417,0.25209345,0.00772658,-0.00474785,-0.17295189,0.04560309,-0.07669331,-0.0506785,-0.00245908,-0.24327845,0.01954324,-0.00101425,0.04131185,0.27840163,-0.00430661,-0.02761747,-0.02914953,-0.15656932,0.06852148,-0.13752319,0.00821028,0.16423385,-0.11864477,-0.02919486,0.12321307,-0.07378318,0.37033645
NDAR_INV0387TP8R,0.29376874,0.19814296,0.38438874,-0.08307337,-0.02335552,0.92747478,-0.10093762,-0.22226734,-0.01232123,0.2578866,-0.01214596,0.16193202,0.10111595,-0.18264804,0.29139177,-0.03273443,-0.08637602,0.0399808,0.0384744,0.09015542,0.3542656,-0.01218093,-0.07023506,-0.03269773,0.08329921,-0.0550037,0.01672323,0.05574267,-0.1019295,-0.15205751,0.17973189,0.15317798,-0.08695497,-0.10381074,0.07771118,0.43429076,0.02306375,0.17555537,0.15088354,-0.05100567,0.05759555,-0.02809863,-0.03172715,-0.05069084,0.32554731,0.14191758,0.15971917,-0.10139225,-0.07186884,0.02812702,-0.08904989,-0.00841983,-0.04612544,-0.03214814,0.29107957,0.27732166,0.18003154,-0.12340642,-0.08993734,-0.04326571,-0.06872582,-0.02453344,-0.09732308,0.00915749,0.11476707,0.63080899,0.06702417,0.02357806,-0.20730519,0.03863203,-0.09161449,-0.01073232,0.0255509,-0.09935797,0.01101397,-0.0030225,0.08177196,0.19405813,-0.02699655,0.10237769,0.11021321,-0.16696896,0.06567661,-0.12967669,-0.09099788,-0.0036167,0.05481304,-0.03785156,-0.00529438,-0.06444445,0.40336481
NDAR_INV03CV8RDT,0.18683965,0.07625967,0.25335311,0.01101769,0.1271146,1.02671046,-0.02693704,-0.13720971,-0.05715146,0.26688038,-0.03885826,0.08758531,-0.01203143,-0.14883238,0.33647217,0.06646087,-0.03460657,0.08240408,0.07774802,0.04515311,0.23768038,-0.02018413,-0.04136195,-0.03431269,0.08355169,-0.04180521,-5.902e-05,0.05656971,-0.07525663,-0.12453604,-0.03325591,0.04311399,-0.02544012,-0.07711847,0.06044794,0.46325089,0.07277759,0.13919396,0.27990662,-0.08044855,0.06497006,0.14239099,-0.0485283,-0.14488321,0.3825171,0.03063507,0.07015721,-0.14224425,-0.01254524,0.06925556,-0.0223341,0.01813558,-0.03961246,-0.04773304,0.21758774,0.09350337,0.04655203,-0.20224186,-0.09120831,-0.0112106,-0.03316203,-0.04530787,-0.07023481,-0.01945223,0.09342412,0.41357863,-0.0043497,-0.0122448,0.00624221,0.16986165,-0.16145771,0.02173116,0.04685281,-0.08861582,-0.0123759,-0.01452396,-0.0186069,0.29786471,-0.00867397,-0.00480199,-0.01755372,-0.18004306,-0.02744806,-0.18542213,-0.03416379,0.18763074,-0.09801652,-0.08626399,0.04360264,-0.14831686,0.49849912
NDAR_INV040B4TRC,0.2475885,0.10559145,0.27756772,-0.11876117,0.05100434,0.70013936,-0.02258487,-0.11276861,-0.01752416,0.26634462,-0.05311707,0.07054881,0.06350816,-0.17855769,0.23733527,-0.02003021,0.02148044,0.03035033,-0.00036143,0.05907249,0.2399264,0.01306145,-0.06408989,-0.05690839,0.08695995,-0.06642524,0.01793871,0.06038261,-0.03658399,-0.21088563,0.10785736,0.05731116,-0.03285384,-0.13525903,0.0335379,0.66877105,-0.04135206,0.05280394,0.13553964,0.14817708,-0.09934822,0.048691,0.00802562,-0.09172534,0.332603,0.09766614,0.03000597,-0.11277944,-0.02768282,-0.00204944,-0.05817941,0.00639545,0.01378867,-0.10192207,0.21556202,0.18387748,0.0073822,-0.1313592,-0.00870822,-0.0558274,-0.0307143,0.01832681,0.00347327,-0.09544053,0.0519338,0.5328611,0.05425382,0.02951402,-0.04866409,0.11083132,-0.11642661,0.02247217,0.04659653,-0.13142523,0.14437597,-0.051215,0.04036921,0.22321762,-0.05924377,-0.04054422,0.05025624,-0.18454692,0.080888,-0.14199884,-0.09276333,0.15772918,-0.11051488,-0.0383577,0.02951901,-0.11564337,0.51055193
NDAR_INV04EUBGTM,0.38134492,0.12205993,0.35595785,-0.2469426,0.03910262,1.00247652,-0.08486556,-0.15525258,0.06370538,0.29739031,-0.08402629,0.11179976,0.07517584,-0.15178866,0.32279273,-0.06521311,-0.04248507,0.08188386,0.11505903,0.04094453,0.22458356,0.00882268,-0.04081887,-0.03620154,0.08541229,-0.05888547,0.01289894,0.07580543,-0.04774008,-0.10326857,0.08345314,0.01019866,0.01523836,-0.05721592,0.01246161,0.6202411,-0.06027325,0.08523545,0.12172794,0.12219069,-0.01720262,0.09671694,0.01493903,-0.08120393,0.15955011,0.24805521,0.07939619,-0.16347416,-0.0793604,-0.04071297,-0.1147022,0.00250025,-0.03114429,-0.09398505,0.44555436,0.3246447,0.02007141,-0.2090053,-0.01135208,-0.10910354,-0.0911912,0.01120385,0.02178843,-0.08427153,0.38402604,0.6900664,0.14655817,-0.01145033,-0.24403411,0.04194873,-0.10765655,-0.00555764,0.04728134,-0.106514,0.02262588,0.07060348,0.10569197,0.25657289,0.01665355,0.0248556,-0.09822987,-0.26632788,0.07304997,-0.16166453,-0.09652405,0.10873686,-0.15412795,0.05058219,0.02356683,-0.03552873,0.46058283
NDAR_INV04JY6730,0.27599046,0.20203533,0.36653174,-0.02125954,-0.02438009,0.78825883,-0.05066774,-0.16484907,0.11076051,0.28181413,-0.00885694,0.09839676,-0.09121986,-0.16618945,0.27421962,-0.02835155,-0.11513485,0.01963763,0.09385951,0.00298558,0.24811583,0.02103249,-0.00858609,0.01951502,0.05898982,-0.03003806,0.03696037,0.03543733,-0.09998323,-0.0884907,0.14661976,-0.01629545,0.08374027,-0.12932372,-0.02118096,0.56884266,0.10042212,0.16746033,0.04207303,0.03997339,-0.04398686,0.06181282,0.02782348,-0.21471149,0.32836925,0.17009951,0.11552967,-0.09212826,-0.04992191,0.01075651,-0.02463934,-0.00159371,-0.09816268,0.0023247,0.29793118,0.1926783,0.18773705,-0.1321098,-0.13920731,0.00950791,-0.10639221,-0.01648028,-0.13383497,0.0471955,0.12558222,0.3316983,0.00226739,-0.03093464,-0.01167084,0.14411079,-0.10628998,0.03744681,0.03321073,-0.08075533,0.1424936,-0.08372818,-0.05498359,0.26875173,-0.10105586,0.01953475,-0.06880328,-0.16470861,0.04167934,-0.1679976,-0.07680681,0.15958048,-0.06093871,-0.10149041,0.06348281,-0.10085485,0.44976548
NDAR_INV056V9RRJ,0.34168616,0.15389798,0.22653108,-0.11020764,0.03803233,0.72984874,-0.02225277,0.02677352,0.13104546,0.12826168,0.0332545,0.06522425,-0.07677013,-0.04636748,0.12763413,-0.0277497,0.04232254,0.07847294,0.07856467,-0.0006766,0.10841347,0.04797632,-0.00520984,-0.03879093,-0.01788687,-0.00073651,-0.01912926,0.06176509,0.10801244,0.04238276,0.03272022,-0.02597887,0.02042863,-0.01566234,0.04680421,0.4604767,0.13166382,0.14161071,0.09631009,0.06798584,-0.01689997,0.10108387,0.06369765,0.12522463,0.38659944,0.19540923,0.11422726,-0.14495727,-0.07908606,0.09114563,-0.05634117,0.01075182,-0.01876885,-0.0034417,0.38983383,0.26177098,0.10519033,-0.04684724,-0.05411587,0.05440622,-0.05067359,-0.02445662,0.02603577,-0.01662137,0.2759043,0.3991037,0.1405195,0.02511385,-0.07624558,0.02985093,-0.00539596,0.02196856,0.03898861,0.04398355,0.14252926,-0.01103045,0.00630845,0.1916716,-0.01102153,-0.07681002,-0.05436992,-0.10319026,0.00281889,-0.08467333,-0.01038905,0.08400476,-0.1159715,0.01201587,0.02342532,-0.06654419,0.22502418
NDAR_INV05CA3VX5,0.31102824,0.14828081,0.38472909,0.01398851,0.03477023,0.91882229,-0.07822941,-0.19888409,0.05449862,0.26527157,-0.05320715,0.08522461,-0.04126086,-0.14146484,0.19689867,-0.13220234,-0.21212358,-0.02963311,0.11511156,0.00593647,0.42431445,0.0012013,-0.05873341,-0.0163048,0.05602625,-0.04839802,0.01673143,0.03520769,-0.06601047,-0.13403651,0.32709667,0.1664476,-0.05675736,-0.02599142,0.01448558,0.77026994,0.01022588,0.03426329,0.19865603,0.0868759,-0.09948772,0.10525139,0.00553183,-0.04398506,0.29186288,0.10736066,0.12666239,-0.10427835,-0.06530045,0.03062967,-0.16015844,-0.01899493,-0.07516888,-0.06771328,0.22660501,0.20895316,0.05944345,-0.17503439,-0.0593717,-0.10454907,-0.2006746,0.00678098,-0.02172224,-0.12217027,0.11547659,0.82322568,0.0063604,0.00805702,-0.19431392,0.05225053,-0.05750965,-0.01302937,0.04076566,-0.16395053,-0.00536827,0.01324684,0.06109519,0.24546704,0.00165985,0.07178005,0.12763444,-0.1787948,0.07986121,-0.19925714,-0.0376939,0.09456877,-0.12200364,-0.0170247,0.0617593,-0.11115303,0.47969829
NDAR_INV06DP74KL,0.19146941,0.13372752,0.36346313,-0.0712643,0.03265775,0.86927359,0.01676341,-0.09697277,-0.00413241,0.25820944,-0.00573954,0.12273213,-0.01135303,-0.18161744,0.37620677,-0.02427129,-0.05044473,0.05006386,0.02520199,0.03136424,0.19808073,0.01798118,-0.0141996,-0.03560763,0.06292439,-0.05629124,-0.01507609,0.03960029,-0.03724659,-0.0816089,-0.07554964,0.03764272,0.16795135,-0.07696769,0.00301941,0.63978348,-0.00943654,0.10304545,0.13198039,0.04093957,-0.062367,0.02559432,0.0031507,-0.14620501,0.35732028,0.12020866,0.14685034,-0.11846569,-0.03802569,0.09109624,-0.05007734,-0.00582972,0.01370858,-0.03805375,0.22357612,0.13489039,-0.00271282,-0.04070363,0.04939411,-0.11546131,-0.01990871,0.0270776,-0.1256875,0.00037153,-0.01064081,0.37153162,0.08813798,-0.00894947,-0.10589019,0.1411419,-0.13750397,-0.04019655,0.05952831,-0.07586211,0.0863069,0.00408835,0.12366126,0.32278031,-0.06508976,-0.06032872,0.06163349,-0.14450595,0.01794173,-0.04323792,-0.04201024,-0.01504433,-0.01937149,-0.08426903,-0.02380185,-0.07637401,0.29925148
NDAR_INV06DX0E7R,0.13077798,0.07002586,0.15662984,0.0388916,0.07268936,0.64969034,0.0446975,0.01876531,0.25713315,0.22094181,0.05305594,0.10021168,0.1472052,0.02293286,0.19777225,-0.03410991,-0.05756613,0.15257862,0.12746144,0.0447195,0.14449656,-0.04576773,-0.01743804,0.00312999,-0.01184338,-0.0537349,0.01367664,0.05959336,0.05314932,0.09572667,0.04583089,0.02175986,0.11431984,-0.03534391,-0.11676576,0.28590047,0.06702375,0.03667679,0.15042736,0.01588838,-0.01129491,-0.08693807,0.04795011,-0.12560188,0.36865142,0.06775703,0.04103716,0.08293608,0.00825393,0.06384876,-0.01434481,-0.01285071,-0.02831879,0.00957111,0.09033905,0.02228497,-0.07213643,-0.07832259,0.05012641,0.05893084,0.0845617,-0.0371814,0.00022178,-0.10726388,0.05297666,0.37894915,0.10597057,-0.00326836,-0.02899749,0.07649798,-0.03609015,-0.02528809,-0.04152701,0.00972657,0.08739785,0.02396147,0.05495309,0.17306598,0.01221924,8.589e-05,-0.15367347,-0.13378935,0.050604,-0.07590636,-0.05122981,0.13599194,0.01191285,-0.04514371,-0.05545497,-0.01845334,0.20740005
